"";"data";"godzina";"zamkniecie"
"451";20180808;80000;143,39
"452";20180808;120000;142,85
"453";20180808;160000;142,86
"454";20180808;200000;142,98
"455";20180809;80000;142,64
"456";20180809;120000;143,18
"457";20180809;160000;142,69
"458";20180809;200000;142,46
"459";20180810;80000;141,19
"460";20180810;120000;141,71
"461";20180810;160000;141,23
"462";20180813;80000;140,33
"463";20180813;120000;141,14
"464";20180813;160000;141,1
"465";20180813;200000;141,08
"466";20180814;80000;142,29
"467";20180814;120000;141,53
"468";20180814;160000;141,26
"469";20180814;200000;141,36
"470";20180815;80000;141,53
"471";20180815;120000;141
"472";20180815;160000;140,28
"473";20180815;200000;140,47
"474";20180816;80000;140,76
"475";20180816;120000;140,73
"476";20180816;160000;141,03
"477";20180816;200000;141,03
"478";20180817;80000;140,72
"479";20180817;120000;140,43
"480";20180817;160000;140,72
"481";20180820;80000;140,92
"482";20180820;120000;141,16
"483";20180820;160000;140,86
"484";20180820;200000;140,77
"485";20180821;80000;141,29
"486";20180821;120000;141,47
"487";20180821;160000;142,01
"488";20180821;200000;142,43
"489";20180822;80000;142,2
"490";20180822;120000;142,37
"491";20180822;160000;142,67
"492";20180822;200000;142,73
"493";20180823;80000;142,65
"494";20180823;120000;142,74
"495";20180823;160000;142,56
"496";20180823;200000;142,58
"497";20180824;80000;142,87
"498";20180824;120000;142,97
"499";20180824;160000;142,96
"500";20180827;80000;142,67
"501";20180827;120000;142,82
"502";20180827;160000;143,17
"503";20180827;200000;143,2
"504";20180828;80000;143,22
"505";20180828;120000;143,38
"506";20180828;160000;143,04
"507";20180828;200000;143,04
"508";20180829;80000;143,02
"509";20180829;120000;143,31
"510";20180829;160000;145,33
"511";20180829;200000;145,48
"512";20180830;80000;145,35
"513";20180830;120000;145
"514";20180830;160000;144,43
"515";20180830;200000;144,47
"516";20180831;80000;144,24
"517";20180831;120000;143,82
"518";20180831;160000;143,83
"519";20180903;80000;143,32
"520";20180903;120000;142,97
"521";20180903;160000;142,96
"522";20180903;200000;142,99
"523";20180904;80000;143
"524";20180904;120000;142,72
"525";20180904;160000;142,96
"526";20180904;200000;143,28
"527";20180905;80000;142,93
"528";20180905;120000;143,03
"529";20180905;160000;143,79
"530";20180905;200000;143,92
"531";20180906;80000;143,68
"532";20180906;120000;143,94
"533";20180906;160000;143,34
"534";20180906;200000;143,29
"535";20180907;80000;143,31
"536";20180907;120000;143,91
"537";20180907;160000;143,76
"538";20180910;80000;143,55
"539";20180910;120000;143,72
"540";20180910;160000;144,67
"541";20180910;200000;144,82
"542";20180911;80000;145,7
"543";20180911;120000;144,86
"544";20180911;160000;145,14
"545";20180911;200000;145,23
"546";20180912;80000;145,23
"547";20180912;120000;144,9
"548";20180912;160000;144,95
"549";20180912;200000;145,13
"550";20180913;80000;145,29
"551";20180913;120000;145,52
"552";20180913;160000;146,62
"553";20180913;200000;146,74
"554";20180914;80000;146,84
"555";20180914;120000;146,32
"556";20180914;160000;146,6
"557";20180917;80000;146,35
"558";20180917;120000;146,85
"559";20180917;160000;147,14
"560";20180917;200000;147,13
"561";20180918;80000;147,02
"562";20180918;120000;147,37
"563";20180918;160000;147,72
"564";20180918;200000;147,62
"565";20180919;80000;147,76
"566";20180919;120000;147,54
"567";20180919;160000;147,65
"568";20180919;200000;147,48
"569";20180920;80000;147,81
"570";20180920;120000;148,91
"571";20180920;160000;148,96
"572";20180920;200000;149,14
"573";20180921;80000;148,89
"574";20180921;120000;148,49
"575";20180921;160000;147,1
"576";20180924;80000;147,42
"577";20180924;120000;148,03
"578";20180924;160000;147,81
"579";20180924;200000;147,81
"580";20180925;80000;148,4
"581";20180925;120000;148,44
"582";20180925;160000;148,53
"583";20180925;200000;148,85
"584";20180926;80000;148,42
"585";20180926;120000;148,65
"586";20180926;160000;148,82
"587";20180926;200000;148,38
"588";20180927;80000;147,58
"589";20180927;120000;148,26
"590";20180927;160000;148,54
"591";20180927;200000;148,27
"592";20180928;80000;148,12
"593";20180928;120000;147,81
"594";20180928;160000;148,1
"595";20181001;80000;148,81
"596";20181001;120000;148,39
"597";20181001;160000;148,45
"598";20181001;200000;148,57
"599";20181002;80000;147,93
"600";20181002;120000;147,47
"601";20181002;160000;147,49
"602";20181002;200000;147,45
"603";20181003;80000;148
"604";20181003;120000;147,69
"605";20181003;160000;148,31
"606";20181003;200000;148,29
"607";20181004;80000;148,2
"608";20181004;120000;148,38
"609";20181004;160000;148,07
"610";20181004;200000;148,24
"611";20181005;80000;148,45
"612";20181005;120000;148,58
"613";20181005;160000;148,76
"614";20181008;80000;148,56
"615";20181008;120000;147,81
"616";20181008;160000;147,57
"617";20181008;200000;148,08
"618";20181009;80000;147,91
"619";20181009;120000;147,44
"620";20181009;160000;148,65
"621";20181009;200000;148,39
"622";20181010;80000;148,83
"623";20181010;120000;148,86
"624";20181010;160000;148,83
"625";20181010;200000;148,21
"626";20181011;80000;147,93
"627";20181011;120000;148,53
"628";20181011;160000;148,06
"629";20181011;200000;148,17
"630";20181012;80000;148,78
"631";20181012;120000;148,29
"632";20181012;160000;147,34
"633";20181015;80000;146,7
"634";20181015;120000;147,21
"635";20181015;160000;147,21
"636";20181015;200000;147
"637";20181016;80000;147,77
"638";20181016;120000;148,15
"639";20181016;160000;148,12
"640";20181016;200000;148
"641";20181017;80000;147,64
"642";20181017;120000;147,14
"643";20181017;160000;147,35
"644";20181017;200000;147,66
"645";20181018;80000;147,67
"646";20181018;120000;147,4
"647";20181018;160000;146,42
"648";20181018;200000;146,07
"649";20181019;80000;146,38
"650";20181019;120000;146,5
"651";20181019;160000;146,72
"652";20181022;80000;147,41
"653";20181022;120000;146,67
"654";20181022;160000;146,29
"655";20181022;200000;146,24
"656";20181023;80000;145,86
"657";20181023;120000;146,23
"658";20181023;160000;145,51
"659";20181023;200000;145,86
"660";20181024;80000;145,64
"661";20181024;120000;145,48
"662";20181024;160000;145,17
"663";20181024;200000;144,46
"664";20181025;80000;144,82
"665";20181025;120000;144,82
"666";20181025;160000;144,32
"667";20181025;200000;144,21
"668";20181026;80000;143,46
"669";20181026;120000;143,14
"670";20181026;160000;143,15
"671";20181029;80000;143,63
"672";20181029;120000;144,01
"673";20181029;160000;144,08
"674";20181029;200000;143,84
"675";20181030;80000;144,2
"676";20181030;120000;143,8
"677";20181030;160000;143,6
"678";20181030;200000;143,55
"679";20181031;80000;143,91
"680";20181031;120000;144,12
"681";20181031;160000;144,48
"682";20181031;200000;144,17
"683";20181101;80000;145,09
"684";20181101;120000;145,38
"685";20181101;160000;145,92
"686";20181101;200000;146,62
"687";20181102;80000;146,94
"688";20181102;120000;147
"689";20181102;160000;146,63
"690";20181102;200000;146,78
"691";20181105;80000;147,32
"692";20181105;120000;147,45
"693";20181105;160000;147,36
"694";20181105;200000;147,77
"695";20181106;80000;148,07
"696";20181106;120000;147,39
"697";20181106;160000;147,98
"698";20181106;200000;148,42
"699";20181107;80000;148,42
"700";20181107;120000;148,87
"701";20181107;160000;148,82
"702";20181107;200000;148,99
"703";20181108;80000;149,12
"704";20181108;120000;148,95
"705";20181108;160000;148,91
"706";20181108;200000;148,72
"707";20181109;80000;148,42
"708";20181109;120000;148,04
"709";20181109;160000;148,4
"710";20181109;200000;147,56
"711";20181112;80000;146,98
"712";20181112;120000;146,36
"713";20181112;160000;146,84
"714";20181112;200000;146,32
"715";20181113;80000;146,78
"716";20181113;120000;147,23
"717";20181113;160000;147,54
"718";20181113;200000;147,45
"719";20181114;80000;148,12
"720";20181114;120000;147,14
"721";20181114;160000;147,99
"722";20181114;200000;147,89
"723";20181115;80000;147,79
"724";20181115;120000;145,14
"725";20181115;160000;144,82
"726";20181115;200000;145,31
"727";20181116;80000;145,02
"728";20181116;120000;145,1
"729";20181116;160000;145,06
"730";20181116;200000;144,63
"731";20181119;80000;144,68
"732";20181119;120000;145
"733";20181119;160000;144,56
"734";20181119;200000;144,64
"735";20181120;80000;144,63
"736";20181120;120000;144,64
"737";20181120;160000;144,23
"738";20181120;200000;144,09
"739";20181121;80000;144,52
"740";20181121;120000;144,51
"741";20181121;160000;144,45
"742";20181121;200000;144,48
"743";20181122;80000;144,54
"744";20181122;120000;145,62
"745";20181122;160000;145,33
"746";20181122;200000;145,42
